nct_id,title,status,start_date,completion_date,phase,enrollment,study_type,sponsor,sponsor_class,fda_regulated
NCT04057846,Lumen Apposing Metal Stents vs Double Pigtail Stents,COMPLETED,2019-08-29,2022-05-31,NA,42,INTERVENTIONAL,John Gasdal Karstensen,OTHER,True
NCT04902079,Observational and Prospective Registry on Cardiac Contractility Modulation (CCM) Therapy,UNKNOWN,2021-03-08,2023-12-31,,20,OBSERVATIONAL,Monaldi Hospital,OTHER,True
NCT04508127,A Feasibility Study to Investigate the Dynamic Brain Imaging in Patients Following SCS- DRG,COMPLETED,2016-03-01,2018-03-01,,10,OBSERVATIONAL,Barts & The London NHS Trust,OTHER,True
NCT07035431,Endo-SPONGE for Treatment of Anastomotic or Hartmann's Stump Leakages in Lower Pelvic Area,RECRUITING,2026-04,2028-12,NA,66,INTERVENTIONAL,Boston Scientific Corporation,INDUSTRY,True
NCT07358351,Feasibility of Robotic Instrument Guidance System to Perform Safe Ultrasound-Guided Percutaneous Procedures During Routine Medical Procedures.,ACTIVE_NOT_RECRUITING,2025-12-03,2026-02,,46,OBSERVATIONAL,"Mendaera, Inc",INDUSTRY,True
NCT03852381,Mechanisms and Outcome-Prognostication for Paresthesia-based and -Free Spinal Cord Stimulation,RECRUITING,2019-05-16,2027-12-31,NA,90,INTERVENTIONAL,"University Health Network, Toronto",OTHER,True
NCT04857281,Non-invasive Vagal Nerve Stimulation (nVNS) for Symptomatic Exacerbation of Nausea in Patients With Gastroparesis and Related Disorders,COMPLETED,2021-04-19,2024-01-23,NA,49,INTERVENTIONAL,Johns Hopkins University,OTHER,True
NCT06753929,Assessment of CSF Shunt Flow in an Outpatient Setting with a Thermal Measurement Device,COMPLETED,2024-12-10,2025-02-05,NA,20,INTERVENTIONAL,"Rhaeos, Inc.",INDUSTRY,True
NCT04745156,A Study Using Brain Stimulation and Behavioral Therapy to Increase Extent of Resection in Low-Grade Gliomas,NOT_YET_RECRUITING,2026-08-01,2027-09,NA,3,INTERVENTIONAL,Medical College of Wisconsin,OTHER,True
NCT05744895,MAKO Total Knee Artroplasty,COMPLETED,2021-09-14,2025-06-30,,123,OBSERVATIONAL,Washington University School of Medicine,OTHER,True
NCT04775875,The Use of Transcranial Ultrasound Treatment of Obsessive-Compulsive Disorder,UNKNOWN,2020-12-01,2025-12-31,NA,30,INTERVENTIONAL,Neurological Associates of West Los Angeles,OTHER,True
NCT01700439,"Surgical Treatment of Aortic Stenosis With a Next Generation, Rapid Deployment Surgical Aortic Valve",COMPLETED,2012-09-26,2021-05-26,NA,934,INTERVENTIONAL,Edwards Lifesciences,INDUSTRY,True
NCT06560177,Biolinq External Interferent Protocol,COMPLETED,2024-09-10,2024-09-27,NA,31,INTERVENTIONAL,Biolinq Inc.,INDUSTRY,True
NCT07226375,Endoscopic Tissue Cutting and Abdominal Extraction Device vs. Conventional Cold Scalpel,RECRUITING,2025-11-13,2026-12-17,NA,84,INTERVENTIONAL,Ege University,OTHER,True
NCT06580275,The GLACE Study: Evaluating CLAAS With ICE Guided LAA Closure,ACTIVE_NOT_RECRUITING,2024-09-24,2026-09-22,NA,80,INTERVENTIONAL,"Conformal Medical, Inc",INDUSTRY,True
NCT04193826,The Conformal Prague Study,COMPLETED,2019-10-19,2022-12-31,NA,20,INTERVENTIONAL,"Conformal Medical, Inc",INDUSTRY,True
NCT03718455,Evaluation of Magseed as Localization Device for Biopsy Proven Metastatic Axillary Lymph Nodes,TERMINATED,2018-10-30,2019-12-01,NA,1,INTERVENTIONAL,Mayo Clinic,OTHER,True
NCT05990660,Renal Assist Device (RAD) for Patients With Renal Insufficiency Undergoing Cardiac Surgery,COMPLETED,2023-09-28,2024-01-18,NA,10,INTERVENTIONAL,3ive Labs,INDUSTRY,True
NCT03681210,Destination Therapy Post Approval Study,ACTIVE_NOT_RECRUITING,2018-10-31,2026-04,,300,OBSERVATIONAL,Medtronic Cardiac Rhythm and Heart Failure,INDUSTRY,True
NCT03099655,Attain Stability™ Quad Clinical Study,COMPLETED,2017-07-07,2019-05-31,NA,471,INTERVENTIONAL,Medtronic Cardiac Rhythm and Heart Failure,INDUSTRY,True
NCT03508778,Clinical Evaluation of the FluidVision Accommodation Intraocular Lens (AIOL),COMPLETED,2018-02-27,2019-12-06,NA,95,INTERVENTIONAL,PowerVision,INDUSTRY,True
NCT05170815,Clariance ErYs Registry,RECRUITING,2022-01-17,2028-12,,760,OBSERVATIONAL,Clariance,INDUSTRY,True
NCT07049913,TBE Zone 2 PMS in Japan,RECRUITING,2025-12-15,2034-02,,200,OBSERVATIONAL,W.L.Gore & Associates,INDUSTRY,True
NCT06240260,TENS Unit for Analgesia During IUD Insertion,RECRUITING,2024-04-30,2025-12-31,NA,40,INTERVENTIONAL,Tufts Medical Center,OTHER,True
NCT05163548,PerQseal®+ Early Feasibility Study,COMPLETED,2022-03-08,2022-07-07,NA,15,INTERVENTIONAL,Vivasure Medical Limited,INDUSTRY,True
NCT04823858,3Spine Lumbar Fusion Real World Evidence Study,ACTIVE_NOT_RECRUITING,2021-05-25,2029-11-15,,176,OBSERVATIONAL,3Spine,INDUSTRY,True
NCT05352048,MMG vs. EMG for Cortical Breach Detection,COMPLETED,2022-08-02,2024-11-06,NA,65,INTERVENTIONAL,Francis Farhadi,OTHER,True
NCT02277990,World-wide Randomized Antibiotic Envelope Infection Prevention Trial,COMPLETED,2015-01,2018-09,PHASE4,7075,INTERVENTIONAL,Medtronic Cardiac Rhythm and Heart Failure,INDUSTRY,True
NCT03969615,SuperNO2VA™ and General Anesthesia Postoperative Care,UNKNOWN,2018-10-15,2019-10-15,NA,150,INTERVENTIONAL,Vyaire Medical,INDUSTRY,True
NCT06425848,HF2 Registry - Hemodynamic Frontiers in Heart Failure Registry,RECRUITING,2022-10-21,2030-12-31,,2000,OBSERVATIONAL,University of Kansas Medical Center,OTHER,True
NCT06410885,Assessment of Flow in Cerebrospinal Fluid Shunts With a Wireless Thermal Anisotropy Measurement Device in Asymptomatic Patients,NOT_YET_RECRUITING,2025-06,2026-05,NA,60,INTERVENTIONAL,"Rhaeos, Inc.",INDUSTRY,True
NCT03246126,Visceral Manifold Study for the Repair of Thoracoabdominal Aortic Aneurysms,COMPLETED,2017-11-01,2023-06-07,NA,17,INTERVENTIONAL,NYU Langone Health,OTHER,True
NCT06155409,Safety and Performance of the SPINEVISION Hexanium ACIF in the Treatment of Cervical Spine Degenerative Disc Disease,ACTIVE_NOT_RECRUITING,2021-07-06,2027-07-31,,148,OBSERVATIONAL,SPINEVISION SAS,INDUSTRY,True
NCT05623306,SEEG-Guided DBS for OCD,RECRUITING,2023-04-13,2029-01-01,NA,10,INTERVENTIONAL,Katherine Scangos,OTHER,True
NCT01969812,Tolerability and Satisfaction With Evie,COMPLETED,2014-01,2015-03,NA,22,INTERVENTIONAL,Wake Forest University Health Sciences,OTHER,True
